MX0411_TGCTTT	MX0411_TCAAGT	MX0404_ATGTTT	MX0404_ACATCG	MX0781_TAGGAT	MX0781_CTATCT	MX0411_GTAGCC	MX0405_CGTGAT	MX0405_CAAGTT	MX0781_ATCAGT	MX0405_ATTGGC	MX0405_CTGATC	MX0781_TCTTCT	MX0404_CTGATC	MX0404_GATCTG	MX0405_CGTACG	MX0404_TCAAGT	MX0404_ATTGGC	MX0781_GAGAGT	MX0781_AATTAT	MX0781_GCCGGT	MX0404_TGCTTT	MX0404_TACAAG	MX0404_CGTGAT	MX0781_AGATGT	MX0405_ACATCG	MX0781_CCGTAT	MX0781_CTGGGT	MX0404_AAGCTA	MX0404_TGGTCA	MX0781_TATCGT	MX0404_GTAGCC	MX0781_GTTTGT	MX0781_AGCGCT	MX0411_TACAAG	MX0781_GATGCT	MX0781_CGGCCT	MX0405_AAGCTA
hsa-mir-203a.MIMAT0000264	1.68930015150725	2.9711603870994	3.04941955881707	1.01838043037826	9.30739891600878	12.3882397786767	2.28078918639904	1.50484993457407	1.19727881156074	11.8259557823811	1.41675521143345	4.13826059299348	11.1436672716446	11.5826420983853	2.52162672936747	3.04941955881707	2.08272957778778	3.84679768310878	10.8557738049906	12.3882397786767	12.2815619996086	3.5498049373617	1.32566858451139	1.59225725028729	9.53733818727787	1.50484993457407	8.08609861698694	10.8557738049906	3.36269901101144	3.34127917043243	11.7113229248303	4.02087175086818	12.0558657747886	10.5706544978569	1.9153742463818	11.7113229248303	9.36177883715171	3.48590333385633
hsa-mir-205.MIMAT0000266	0	0	0	0	6.54991757576404	8.936149215941	0	0	0	8.17880768831904	0	0	7.38434753355515	9.59512709881994	0	0	0	0.430043662970208	10.5069894560841	8.08609861698694	9.90613568571826	0	0	0	5.953392830647	0	5.36285636364521	8.13112005346579	0	0.172777115058724	8.13112005346579	0	9.14967127544163	8.84573349872662	0	9.09637657625615	7.17624412452934	0
hsa-mir-20b.MIMAT0001413	2.48779297964676	2.09914806777867	3.2478914961102	5.73931550288461	9.47603432837351	8.7469457572955	3.44677230814912	7.51727968479053	5.76756245376342	8.64012129836919	8.64012129836919	3.06899902170395	8.936149215941	3.34127917043243	2.22188225529911	2.77866467573414	4.28720632415505	4.04176175456594	8.35184871787169	9.20340553650288	8.48535231773933	0.653807341246556	8.26617914226918	3.32390283718301	8.43788550723812	2.92642645227719	8.03380275458002	7.3009351843519	6.04449213119326	3.26826045060664	8.08609861698694	3.2875971440001	8.79439973555384	8.9894401390471	0.262522195700487	9.71958625665191	9.71958625665191	4.75916049266558
NOVELM00290.NOVELM00290M	0.921424807760461	0	0	2.89846637076086	4.90013330800066	3.08836595274037	0	0.958539929958002	0.43654159721528	6.32098511729863	0	0	5.55688701083564	0	0	0	0	0	3.99820245413553	5.12687748069744	4.39519867210703	0	1.95775187966085	1.75315575172009	4.70485409085191	0	4.58706795254105	4.16138103559415	0.690222284819963	0	5.23414699375837	1.50484993457407	6.83661999773509	4.75916049266558	2.76304055244713	4.08837067125183	2.39034394904353	0
hsa-mir-4491.MIMAT0019026	2.53850016994221	2.60586904883001	3.97618851939609	4.08837067125183	6.44532203753551	6.10853010631985	3.3047642073571	3.36269901101144	2.84949111528683	5.98421566265654	4.39519867210703	1.39076036890854	7.1346516755176	1.06556475539594	5.05489158283722	3.32390283718301	4.04176175456594	3.5498049373617	6.57887371532712	6.83661999773509	6.01629443927773	1.31247375182284	2.72909573742139	2.06890153274253	6.75983095324874	2.06890153274253	6.41356815596353	6.13976848673924	3.02686773071828	4.56493905462503	7.05233545946151	4.16138103559415	6.54991757576404	7.17624412452934	2.81283529731574	5.26137655770001	7.46947791311019	1.55848639245648
hsa-mir-3150b.MIMAT0018194	3.82830409775339	6.87184914955783	4.78279831446098	4.65702943778433	7.90183759405263	6.04449213119326	3.10641292890555	5.92189774110856	0.551900007852395	6.97795245901537	3.50811544167199	5.05489158283722	8.48535231773933	3.42398714582871	2.14735456409504	0	0.249958230558789	6.87184914955783	8.53470526408986	7.51727968479053	8.13112005346579	2.39034394904353	0	5.71203383873304	7.93939198838555	3.44677230814912	7.46947791311019	7.69212139886756	6.28906653984943	4.97647978961503	6.91056830660742	4.13826059299348	7.69212139886756	7.93939198838555	7.60771811725985	8.31131250797066	7.65062169757905	6.38532432274285
hsa-mir-28.MIMAT0004502	10.6842107261631	12.6389951466296	9.95933411338659	10.5069894560841	15.6074286189146	14.926094428847	10.4275625160825	11.5826420983853	10.262262551101	14.5063686125147	9.77746121176063	11.8259557823811	14.2149581978129	11.4693109510532	9.47603432837351	11.7113229248303	10.8557738049906	11.7113229248303	14.2149581978129	14.5063686125147	14.2149581978129	10.7674918088292	9.77746121176063	11.8259557823811	14.926094428847	9.42594458134766	13.083995399589	13.232656177245	12.1631523233338	11.342648007779	14.5063686125147	9.59512709881994	14.5063686125147	13.5619714112494	11.342648007779	17.0019019880991	14.2149581978129	10.033074337609
hsa-mir-20b.MIMAT0004752	0	0	0	2.50591627436532	5.28941620968993	4.16138103559415	0	2.03377757576436	1.33887233462121	3.68627950669885	2.9711603870994	0.677594553440283	3.88586488468386	0	0	1.76017198572665	2.17214507435639	0	3.90528228775382	4.80870302775104	4.13826059299348	0	5.953392830647	0	4.78279831446098	0	4.80870302775104	3.88586488468386	0.481085928519716	0	2.65713870400913	0.419552554981376	2.91755829570587	5.61027655241916	0	4.39519867210703	5.49459297378087	0
hsa-mir-28.MIMAT0000085	4.58706795254105	8.03380275458002	5.76756245376342	5.10286907945117	10.4275625160825	9.71958625665191	7.4195412385589	6.26043369316696	7.05233545946151	10.1824897553691	7.01438728756657	8.13112005346579	10.4275625160825	4.90013330800066	4.84981966343798	6.48252151729005	3.61854596473257	6.28906653984943	9.90613568571826	9.03777007864624	10.262262551101	6.26043369316696	5.3148690594412	6.48252151729005	9.71958625665191	4.68153616894904	9.25082909153503	9.59512709881994	7.3009351843519	6.10853010631985	9.09637657625615	6.28906653984943	9.59512709881994	9.65399633717883	6.54991757576404	9.30739891600878	9.95933411338659	6.94155929045991
hsa-mir-129-2.MIMAT0000242	0	4.90013330800066	0	2.11649981037213	6.35217132377477	6.28906653984943	1.99748216398366	3.14785144228149	0	4.73172638760387	1.92817441049743	3.74887913224826	5.71203383873304	3.50811544167199	6.71917656601077	0	1.88369573314316	10.7674918088292	5.61027655241916	6.28906653984943	5.38749009992692	7.4195412385589	0	3.80696412350747	6.38532432274285	1.24627860035745	6.87184914955783	5.72573915759296	1.54482251837986	0	6.16641119920204	0	5.63634210471646	6.91056830660742	6.41356815596353	5.61027655241916	7.01438728756657	5.20385342774114
